CustomerID,recency,frequency,monetary,cluster,segment
12482,576,29,23691.4,3,Champions
12483,17,19,5120.58,3,Champions
12484,32,12,6370.15,3,Champions
12485,529,1,708.1,0,At Risk
12486,431,1,1037.28,0,At Risk
12487,730,1,285.29999999999995,0,At Risk
12488,9,3,1298.66,2,Potential Customers
12489,336,1,334.93,0,At Risk
12490,5,21,9823.64,3,Champions
12491,38,1,460.40000000000003,2,Potential Customers
12492,63,3,715.21,2,Potential Customers
12493,165,2,433.74,0,At Risk
12494,15,9,1872.8700000000001,3,Champions
12495,640,1,357.4,0,At Risk
12496,620,2,54.09,0,At Risk
12497,81,3,6248.5,1,Loyal Customers
12498,21,3,403.70000000000005,2,Potential Customers
12499,560,1,393.72,0,At Risk
12500,23,19,5955.21,3,Champions
12501,336,1,2169.39,1,Loyal Customers
12502,95,5,3723.87,1,Loyal Customers
12503,584,1,1126.0,0,At Risk
12504,18,4,779.05,2,Potential Customers
12505,408,1,955.2,0,At Risk
12506,232,1,73.5,0,At Risk
12507,134,4,1844.06,1,Loyal Customers
12508,26,2,398.27,2,Potential Customers
12509,284,1,176.5,0,At Risk
12510,142,9,5178.02,1,Loyal Customers
12511,428,1,3084.02,1,Loyal Customers
12512,66,2,138.03,0,At Risk
12513,112,1,612.29,0,At Risk
12514,267,2,1597.76,1,Loyal Customers
12515,353,1,383.7,0,At Risk
12516,77,4,2648.62,1,Loyal Customers
12517,28,5,2502.84,1,Loyal Customers
12518,0,5,2056.89,2,Potential Customers
12519,63,2,726.54,2,Potential Customers
12520,79,5,2634.26,1,Loyal Customers
12521,142,1,599.68,0,At Risk
12522,39,2,192.72,2,Potential Customers
12523,19,23,4372.15,3,Champions
12524,9,17,11126.11,3,Champions
12525,498,3,973.73,1,Loyal Customers
12526,0,3,1316.66,2,Potential Customers
12527,81,5,735.51,1,Loyal Customers
12528,9,6,1933.48,2,Potential Customers
12529,528,1,316.48,0,At Risk
12530,59,9,3759.26,1,Loyal Customers
12531,14,2,1933.2,2,Potential Customers
12532,30,1,349.83000000000004,2,Potential Customers
12533,627,2,1367.89,1,Loyal Customers
12534,130,1,1089.18,0,At Risk
12535,91,2,716.35,2,Potential Customers
12536,43,3,12601.830000000002,1,Loyal Customers
12537,408,1,732.94,0,At Risk
12538,29,2,640.45,2,Potential Customers
12539,22,7,11214.75,3,Champions
12540,19,33,22254.49,3,Champions
12541,29,3,981.18,2,Potential Customers
12542,484,2,481.88,0,At Risk
12543,448,1,980.25,0,At Risk
12544,36,1,372.7,2,Potential Customers
12545,75,2,1000.39,2,Potential Customers
12546,46,2,1161.5,2,Potential Customers
12547,197,3,383.58,0,At Risk
12548,166,1,95.19999999999999,0,At Risk
12549,575,6,1575.68,1,Loyal Customers
12550,79,1,964.83,2,Potential Customers
12551,357,1,168.0,0,At Risk
12552,38,2,437.82,2,Potential Customers
12553,8,12,4608.75,3,Champions
12554,448,1,468.5,0,At Risk
12555,682,1,129.23,0,At Risk
12556,50,2,603.71,2,Potential Customers
12557,16,8,18716.14,3,Champions
12558,7,1,269.96,2,Potential Customers
12559,310,2,561.71,0,At Risk
12560,5,3,2134.01,2,Potential Customers
12561,302,1,238.85,0,At Risk
12562,8,9,4966.92,3,Champions
12563,408,1,249.24,0,At Risk
12564,261,1,456.9,0,At Risk
12565,288,1,145.92,0,At Risk
12566,86,1,351.65,0,At Risk
12567,22,15,13709.86,3,Champions
12568,644,1,70.0,0,At Risk
12569,2,32,4124.69,3,Champions
12570,682,1,77.52,0,At Risk
12571,39,2,519.61,2,Potential Customers
12572,8,2,1020.42,2,Potential Customers
12573,227,5,717.41,1,Loyal Customers
12574,315,1,218.45,0,At Risk
12575,457,2,622.8199999999999,0,At Risk
12576,35,8,2142.72,1,Loyal Customers
12577,35,8,1653.75,1,Loyal Customers
12578,21,4,4642.45,2,Potential Customers
12579,78,1,440.42,0,At Risk
12580,246,2,1052.9,1,Loyal Customers
12581,39,1,197.71,2,Potential Customers
12582,238,4,1980.4,1,Loyal Customers
12583,2,27,14447.44,3,Champions
12584,3,9,2338.15,3,Champions
12585,234,2,2040.1,1,Loyal Customers
12586,17,4,2062.67,2,Potential Customers
12587,7,1,144.0,2,Potential Customers
12588,39,4,958.78,2,Potential Customers
12589,28,8,4695.66,3,Champions
12590,211,2,9864.26,1,Loyal Customers
12591,317,3,1352.15,1,Loyal Customers
12592,92,5,2582.66,1,Loyal Customers
12593,108,3,418.09999999999997,0,At Risk
12594,37,15,5090.110000000001,3,Champions
12595,504,1,299.02,0,At Risk
12596,51,2,618.27,2,Potential Customers
12597,19,4,3811.22,2,Potential Customers
12598,9,11,4534.09,3,Champions
12599,29,13,2296.72,3,Champions
12600,28,21,5043.92,3,Champions
12601,189,6,681.26,1,Loyal Customers
12602,58,1,153.12,0,At Risk
12603,21,1,739.1999999999999,2,Potential Customers
12604,79,2,254.18,0,At Risk
12605,376,4,1232.95,1,Loyal Customers
12606,682,1,21.0,0,At Risk
12607,60,1,1579.51,2,Potential Customers
12608,404,1,415.79,0,At Risk
12609,78,9,3435.86,1,Loyal Customers
12610,22,5,2099.54,2,Potential Customers
12611,52,1,1193.32,2,Potential Customers
12612,74,1,704.0400000000001,2,Potential Customers
12613,57,10,6835.07,3,Champions
12614,277,1,315.6,0,At Risk
12615,2,8,5740.98,3,Champions
12616,95,3,1131.1,1,Loyal Customers
12617,29,1,355.53,2,Potential Customers
12618,21,1,177.31,2,Potential Customers
12619,16,10,3781.38,3,Champions
12620,14,3,1339.41,2,Potential Customers
12621,1,35,24775.81,3,Champions
12622,232,1,180.1,0,At Risk
12623,276,7,3747.84,1,Loyal Customers
12624,106,2,641.13,0,At Risk
12625,211,4,5164.88,1,Loyal Customers
12626,23,9,6620.48,3,Champions
12627,10,7,4478.53,3,Champions
12628,4,3,786.46,2,Potential Customers
12629,385,2,1558.22,1,Loyal Customers
12630,9,2,1270.88,2,Potential Customers
12631,57,6,3481.57,1,Loyal Customers
12632,520,2,804.88,0,At Risk
12633,58,7,5678.16,1,Loyal Customers
12634,535,2,490.0,0,At Risk
12635,89,4,2930.41,1,Loyal Customers
12636,738,1,141.0,0,At Risk
12637,67,12,8340.31,3,Champions
12638,33,2,921.49,2,Potential Customers
12639,238,3,1312.37,1,Loyal Customers
12640,23,3,1174.58,2,Potential Customers
12641,115,1,185.9,0,At Risk
12642,25,3,1013.26,2,Potential Customers
12643,128,12,8350.42,3,Champions
12644,129,4,1918.49,1,Loyal Customers
12645,33,8,3539.3,3,Champions
12646,4,2,1346.97,2,Potential Customers
12647,22,36,17924.35,3,Champions
12648,154,4,1112.0,1,Loyal Customers
12649,107,8,2294.65,1,Loyal Customers
12650,3,1,314.44,2,Potential Customers
12651,334,4,377.75,0,At Risk
12652,331,2,1017.03,0,At Risk
12653,148,3,4160.83,1,Loyal Customers
12654,10,5,601.98,2,Potential Customers
12655,423,1,261.35,0,At Risk
12656,17,8,6407.83,3,Champions
12657,11,4,1643.18,2,Potential Customers
12658,18,1,686.05,2,Potential Customers
12659,29,1,91.68,2,Potential Customers
12660,11,1,245.1,2,Potential Customers
12661,436,1,162.0,0,At Risk
12662,0,20,6988.02,3,Champions
12663,624,2,239.4,0,At Risk
12664,8,11,6070.04,3,Champions
12665,324,3,313.6,0,At Risk
12666,394,1,1248.42,0,At Risk
12667,58,1,620.13,2,Potential Customers
12668,11,10,11444.68,3,Champions
12669,150,3,2744.0299999999997,1,Loyal Customers
12670,10,7,3760.29,3,Champions
12671,606,1,2622.481,1,Loyal Customers
12672,329,2,437.05,0,At Risk
12673,5,3,1230.02,2,Potential Customers
12674,38,4,1970.6,1,Loyal Customers
12675,553,2,958.5,0,At Risk
12676,24,11,2843.09,3,Champions
12677,555,2,395.1,0,At Risk
12678,42,21,34281.18,3,Champions
12679,58,4,1113.02,1,Loyal Customers
12680,0,4,880.81,2,Potential Customers
12681,14,45,30868.28,3,Champions
12682,3,52,24033.91,3,Champions
12683,4,21,12696.78,3,Champions
12684,7,7,2283.63,3,Champions
12685,28,6,2863.08,1,Loyal Customers
12686,371,1,178.28,0,At Risk
12687,480,2,2138.91,1,Loyal Customers
12688,113,1,4873.8099999999995,1,Loyal Customers
12689,25,2,1247.61,2,Potential Customers
12690,205,1,389.01,0,At Risk
12691,28,7,1170.4,2,Potential Customers
12692,637,1,110.95,0,At Risk
12693,127,7,1703.02,1,Loyal Customers
12694,70,3,1843.35,1,Loyal Customers
12695,7,7,1407.1200000000001,2,Potential Customers
12696,434,2,851.91,0,At Risk
12697,28,3,957.59,2,Potential Customers
12698,590,1,339.75,0,At Risk
12699,417,1,638.11,0,At Risk
12700,7,4,4939.99,3,Champions
12701,79,6,2446.41,1,Loyal Customers
12702,19,1,219.0,2,Potential Customers
12703,71,4,1006.53,1,Loyal Customers
12704,7,8,2340.84,3,Champions
12705,15,14,11762.1,3,Champions
12707,291,1,603.42,0,At Risk
12708,29,18,5314.1,3,Champions
12709,15,34,31093.34,3,Champions
12710,96,3,1149.02,1,Loyal Customers
12711,611,2,1339.05,1,Loyal Customers
12712,28,21,7193.66,3,Champions
12713,0,1,848.55,2,Potential Customers
12714,9,12,14093.71,3,Champions
12715,106,1,353.86,0,At Risk
12716,3,2,1053.49,2,Potential Customers
12717,151,3,1308.91,1,Loyal Customers
12718,71,1,238.25,0,At Risk
12719,5,2,644.95,2,Potential Customers
12720,2,30,8260.67,3,Champions
12721,31,8,4013.08,3,Champions
12722,85,4,997.63,1,Loyal Customers
12723,3,5,725.07,2,Potential Customers
12724,5,7,2317.52,3,Champions
12725,371,4,2694.56,1,Loyal Customers
12726,28,11,4014.6,3,Champions
12727,10,10,5679.53,3,Champions
12728,71,5,1070.17,1,Loyal Customers
12729,113,1,453.01,0,At Risk
12730,521,1,829.25,0,At Risk
12731,23,17,25775.71,3,Champions
12732,179,1,236.26000000000002,0,At Risk
12733,234,4,2424.87,1,Loyal Customers
12734,352,3,639.65,0,At Risk
12735,315,2,779.5699999999999,0,At Risk
12736,332,1,234.0,0,At Risk
12737,498,2,3710.5,1,Loyal Customers
12738,372,1,310.7,0,At Risk
12739,78,4,2726.73,1,Loyal Customers
12740,63,1,427.6,2,Potential Customers
12741,529,2,406.07,0,At Risk
12742,625,1,1201.52,0,At Risk
12743,134,2,546.43,0,At Risk
12744,51,11,25317.06,3,Champions
12745,486,3,925.41,1,Loyal Customers
12746,540,1,254.55,0,At Risk
12747,2,26,9276.539999999999,3,Champions
12748,0,336,56599.39,3,Champions
12749,3,9,6897.36,3,Champions
12750,128,1,275.88,0,At Risk
12751,444,1,268.27,0,At Risk
12752,81,1,4366.78,1,Loyal Customers
12753,22,6,21429.39,3,Champions
12754,235,3,3010.74,1,Loyal Customers
12755,280,11,9030.66,1,Loyal Customers
12756,86,1,112.07999999999998,0,At Risk
12757,15,13,7857.1,3,Champions
12758,116,7,9903.24,1,Loyal Customers
12759,52,8,5020.74,3,Champions
12760,455,1,347.8,0,At Risk
12761,457,2,782.95,0,At Risk
12762,7,2,1898.52,2,Potential Customers
12763,138,2,814.16,1,Loyal Customers
12764,316,1,1693.88,0,At Risk
12765,472,6,1404.58,1,Loyal Customers
12766,3,9,10068.28,3,Champions
12767,375,1,949.82,0,At Risk
12768,450,1,168.69000000000003,0,At Risk
12769,238,1,1143.6,0,At Risk
12770,210,2,3246.45,1,Loyal Customers
12771,485,1,282.3,0,At Risk
12772,59,1,892.47,2,Potential Customers
12773,564,1,124.25,0,At Risk
12774,535,1,98.7,0,At Risk
12775,17,7,1686.12,2,Potential Customers
12776,667,1,55.5,0,At Risk
12777,457,1,519.45,0,At Risk
12778,19,9,1775.68,3,Champions
12779,37,14,6722.2699999999995,3,Champions
12780,598,1,337.4,0,At Risk
12781,63,2,826.74,2,Potential Customers
12782,4,11,4618.24,3,Champions
12783,2,6,2225.91,3,Champions
12784,9,3,1804.75,2,Potential Customers
12785,364,3,1100.4,1,Loyal Customers
12786,609,1,728.5,0,At Risk
12787,9,4,862.18,2,Potential Customers
12788,463,4,444.9,0,At Risk
12789,65,3,273.35,2,Potential Customers
12790,192,2,591.85,0,At Risk
12791,373,6,1056.1100000000001,1,Loyal Customers
12792,256,2,827.01,0,At Risk
12793,334,3,1017.33,1,Loyal Customers
12794,53,2,860.41,2,Potential Customers
12795,18,1,430.48,2,Potential Customers
12796,628,1,381.0,0,At Risk
12797,365,2,806.11,0,At Risk
12798,10,4,8510.93,3,Champions
12799,529,1,219.35,0,At Risk
12800,470,3,584.25,0,At Risk
12801,500,1,1071.82,0,At Risk
12802,186,7,2416.42,1,Loyal Customers
12803,393,1,1092.81,0,At Risk
12804,465,2,327.02,0,At Risk
12805,381,4,1434.95,1,Loyal Customers
12806,435,4,2878.96,1,Loyal Customers
12807,383,1,330.35,0,At Risk
12808,36,5,906.1,2,Potential Customers
12809,177,3,1755.94,1,Loyal Customers
12810,534,2,534.99,0,At Risk
12811,260,5,1033.9,1,Loyal Customers
12812,44,1,229.64000000000001,2,Potential Customers
12813,501,3,1687.8,1,Loyal Customers
12814,101,1,125.92,0,At Risk
12815,147,2,1063.46,1,Loyal Customers
12816,95,2,572.2,0,At Risk
12817,281,3,690.98,1,Loyal Customers
12818,261,1,1542.08,0,At Risk
12819,458,1,540.52,0,At Risk
12820,3,11,2689.52,3,Champions
12821,214,2,220.8,0,At Risk
12822,70,2,948.88,2,Potential Customers
12823,74,18,6501.5,3,Champions
12824,59,1,397.12,2,Potential Customers
12825,521,2,518.63,0,At Risk
12826,2,12,2955.75,3,Champions
12827,5,3,430.15000000000003,2,Potential Customers
12828,2,6,1018.71,2,Potential Customers
12829,336,3,385.3,0,At Risk
12830,37,6,6814.64,3,Champions
12831,262,3,451.11,0,At Risk
12832,32,2,383.03,2,Potential Customers
12833,145,1,417.38,0,At Risk
12834,282,1,312.38,0,At Risk
12835,427,41,6043.31,3,Champions
12836,59,15,6585.62,3,Champions
12837,173,2,688.41,0,At Risk
12838,33,10,3398.48,3,Champions
12839,2,26,10071.73,3,Champions
12840,143,7,4041.97,1,Loyal Customers
12841,4,40,7540.68,3,Champions
12842,70,4,1917.99,1,Loyal Customers
12843,65,30,6588.41,3,Champions
12844,29,4,648.6,2,Potential Customers
12845,267,4,354.09,0,At Risk
12846,682,1,15.58,0,At Risk
12847,22,2,1636.8999999999999,2,Potential Customers
12848,675,1,208.0,0,At Risk
12849,31,6,3090.56,1,Loyal Customers
12850,445,1,330.0,0,At Risk
12851,96,2,284.13,0,At Risk
12852,294,1,311.55,0,At Risk
12853,134,11,3907.5,1,Loyal Customers
12854,78,7,2994.02,1,Loyal Customers
12855,372,4,650.9399999999999,1,Loyal Customers
12856,7,6,2179.93,2,Potential Customers
12857,210,6,3688.0,1,Loyal Customers
12858,383,1,177.92,0,At Risk
12859,458,1,575.1,0,At Risk
12860,693,1,55.47,0,At Risk
12861,619,1,68.25,0,At Risk
12862,425,2,1008.3199999999999,0,At Risk
12863,52,6,2792.5499999999997,1,Loyal Customers
12864,138,2,299.57,0,At Risk
12865,26,4,3323.47,2,Potential Customers
12866,283,3,1227.35,1,Loyal Customers
12867,26,13,7913.29,3,Champions
12868,185,8,2247.06,1,Loyal Customers
12869,681,1,337.66999999999996,0,At Risk
12870,375,3,1676.95,1,Loyal Customers
12871,84,3,744.02,1,Loyal Customers
12872,326,12,3685.4900000000002,1,Loyal Customers
12873,282,3,2027.3,1,Loyal Customers
12874,385,2,948.42,0,At Risk
12875,143,5,1356.99,1,Loyal Customers
12876,57,4,4081.79,1,Loyal Customers
12877,3,20,2955.17,3,Champions
12878,236,2,854.99,0,At Risk
12879,44,3,573.22,2,Potential Customers
12880,381,2,640.13,0,At Risk
12881,275,1,298.0,0,At Risk
12882,9,2,1463.04,2,Potential Customers
12883,24,4,703.47,2,Potential Customers
12884,88,1,309.05,0,At Risk
12885,63,3,1175.22,1,Loyal Customers
12886,67,2,1378.4,2,Potential Customers
12887,383,1,222.4,0,At Risk
12888,214,2,354.12,0,At Risk
12889,381,4,385.46000000000004,0,At Risk
12890,24,2,717.27,2,Potential Customers
12891,185,11,840.5,1,Loyal Customers
12892,396,1,263.38,0,At Risk
12893,30,1,188.14,2,Potential Customers
12894,575,1,157.35,0,At Risk
12895,42,2,372.8,2,Potential Customers
12897,204,4,514.25,1,Loyal Customers
12898,463,2,310.96000000000004,0,At Risk
12899,413,1,366.4,0,At Risk
12900,422,1,340.33,0,At Risk
12901,8,28,17654.54,3,Champions
12902,264,1,138.68,0,At Risk
12903,428,1,833.53,0,At Risk
12904,18,2,509.58,2,Potential Customers
12905,576,2,1018.42,0,At Risk
12906,11,5,2919.81,2,Potential Customers
12907,395,2,508.91,0,At Risk
12908,176,5,1776.0,1,Loyal Customers
12909,39,8,3103.19,1,Loyal Customers
12910,23,13,5796.52,3,Champions
12911,551,1,1680.47,0,At Risk
12912,2,5,1662.3,2,Potential Customers
12913,4,13,6700.860000000001,3,Champions
12914,400,1,223.98,0,At Risk
12915,148,4,1174.75,1,Loyal Customers
12916,138,7,4654.0199999999995,1,Loyal Customers
12917,128,6,4359.2,1,Loyal Customers
12918,626,1,10953.5,1,Loyal Customers
12919,8,6,1335.19,2,Potential Customers
12920,17,4,488.09000000000003,2,Potential Customers
12921,9,74,35921.04,3,Champions
12922,161,1,405.38,0,At Risk
12923,64,3,789.87,2,Potential Customers
12924,88,12,2469.4,1,Loyal Customers
12925,4,3,729.3299999999999,2,Potential Customers
12926,411,4,1548.46,1,Loyal Customers
12927,394,1,197.31,0,At Risk
12928,35,12,4304.89,3,Champions
12929,311,1,117.85,0,At Risk
12930,78,2,415.8,2,Potential Customers
12931,21,57,92347.34,3,Champions
12932,539,8,1698.56,1,Loyal Customers
12933,24,8,1687.03,3,Champions
12934,736,1,181.65,0,At Risk
12935,2,15,4243.86,3,Champions
12936,17,4,1063.9,2,Potential Customers
12937,15,9,3097.61,3,Champions
12938,25,1,114.14,2,Potential Customers
12939,64,20,25264.8,3,Champions
12940,54,2,913.54,2,Potential Customers
12941,724,1,377.49,0,At Risk
12942,131,3,942.65,1,Loyal Customers
12943,558,2,496.5,0,At Risk
12944,35,2,604.51,2,Potential Customers
12945,288,2,900.11,0,At Risk
12946,436,1,324.45,0,At Risk
12947,143,6,1908.03,1,Loyal Customers
12948,16,9,2317.43,3,Champions
12949,30,22,15526.7,3,Champions
12950,2,3,1843.0,2,Potential Customers
12951,8,15,3213.7200000000003,3,Champions
12952,5,4,1387.79,2,Potential Customers
12953,9,2,828.8100000000001,2,Potential Customers
12954,638,1,162.45,0,At Risk
12955,1,11,4757.16,3,Champions
12956,306,4,521.89,1,Loyal Customers
12957,9,13,8706.97,3,Champions
12958,400,2,539.49,0,At Risk
12959,484,1,150.95,0,At Risk
12960,413,4,1322.07,1,Loyal Customers
12961,379,1,211.99,0,At Risk
12962,7,2,266.39,2,Potential Customers
12963,8,12,3601.59,3,Champions
12964,437,1,132.24,0,At Risk
12965,89,1,771.91,0,At Risk
12966,9,1,160.18,2,Potential Customers
12967,358,3,4306.92,1,Loyal Customers
12968,112,1,135.95,0,At Risk
12969,602,1,122.45,0,At Risk
12970,7,10,1524.97,3,Champions
12971,3,116,15972.79,3,Champions
12972,413,4,1161.2,1,Loyal Customers
12973,413,1,385.55,0,At Risk
12974,197,2,408.95,0,At Risk
12975,436,6,2100.09,1,Loyal Customers
12976,211,8,3156.38,1,Loyal Customers
12977,156,4,517.63,1,Loyal Customers
12978,385,5,2502.82,1,Loyal Customers
12979,729,1,517.7,0,At Risk
12980,157,21,16245.78,3,Champions
12981,29,2,372.21999999999997,2,Potential Customers
12982,242,8,2744.81,1,Loyal Customers
12983,598,1,490.08000000000004,0,At Risk
12984,18,1,97.5,2,Potential Customers
12985,0,2,1239.38,2,Potential Customers
12986,428,10,2729.84,1,Loyal Customers
12987,73,5,1312.21,1,Loyal Customers
12988,292,1,535.32,0,At Risk
12989,3,33,13551.75,3,Champions
12990,31,7,955.5,2,Potential Customers
12991,23,3,764.82,2,Potential Customers
12992,725,1,93.35000000000001,0,At Risk
12993,23,8,1259.6299999999999,2,Potential Customers
12994,4,3,974.4200000000001,2,Potential Customers
12995,85,1,211.32,0,At Risk
12996,375,1,355.5,0,At Risk
12997,22,8,2110.91,3,Champions
12998,492,3,920.08,1,Loyal Customers
12999,196,3,455.88,0,At Risk
13000,106,4,1032.5,1,Loyal Customers
13001,4,33,24172.100000000002,3,Champions
13002,318,3,414.13,0,At Risk
13003,105,3,149.05,0,At Risk
13004,11,36,11650.85,3,Champions
13005,173,4,999.68,1,Loyal Customers
13006,56,1,81.57,0,At Risk
13007,579,1,175.25,0,At Risk
13008,323,3,612.13,0,At Risk
13009,672,1,234.0,0,At Risk
13010,374,2,330.12,0,At Risk
13011,372,1,101.10000000000001,0,At Risk
13012,9,11,2972.83,3,Champions
13013,1,29,12625.77,3,Champions
13014,10,11,5381.08,3,Champions
13015,53,11,6586.42,3,Champions
13016,73,3,789.89,2,Potential Customers
13017,7,1,204.0,2,Potential Customers
13018,16,35,9763.16,3,Champions
13019,379,6,1229.95,1,Loyal Customers
13020,562,2,618.96,0,At Risk
13021,4,17,4887.24,3,Champions
13022,429,1,65.3,0,At Risk
13023,64,3,1449.03,1,Loyal Customers
13024,470,2,555.87,0,At Risk
13025,731,1,323.39,0,At Risk
13026,1,9,1733.08,3,Champions
13027,113,19,17335.2,3,Champions
13028,22,2,661.3199999999999,2,Potential Customers
13029,30,5,1927.3,2,Potential Customers
13030,11,2,1227.22,2,Potential Customers
13031,407,5,3419.27,1,Loyal Customers
13032,52,9,2843.55,1,Loyal Customers
13033,357,2,220.55,0,At Risk
13034,54,3,922.68,2,Potential Customers
13035,73,3,1364.2,1,Loyal Customers
13036,684,1,307.1,0,At Risk
13037,138,12,3914.9500000000003,1,Loyal Customers
13038,80,3,908.46,1,Loyal Customers
13039,584,4,1010.73,1,Loyal Customers
13040,8,2,676.99,2,Potential Customers
13041,450,4,799.13,1,Loyal Customers
13042,598,3,1556.54,1,Loyal Customers
13043,273,1,516.42,0,At Risk
13044,291,11,4853.9,1,Loyal Customers
13045,99,3,808.92,1,Loyal Customers
13046,30,3,949.25,2,Potential Customers
13047,31,24,8795.16,3,Champions
13048,14,9,4084.21,3,Champions
13049,64,4,1408.24,1,Loyal Customers
13050,14,35,12344.53,3,Champions
13051,578,2,155.8,0,At Risk
